data;campanha;tipo oferta;ofertafixa;volumetria
24/02/2026;iXS_Terminados_PA_2T;PCD;;5000
05/02/2026;iXS_CCR_SMSB;PCD;;4000
09/02/2026;iXS_Terminados_PA_1T;PCD;;2500
05/02/2026;iXS_CCR_SMSA;PCD;;1236
05/02/2026;iXS_CCR_SMSD;PCD;;1523
09/02/2026;iXS_Terminados_NPA_2T;PCD;;15879
09/02/2026;iXS_Terminados_Captacao_1T;PCD;;48741
09/02/2026;iXS_Terminados_Captacao_2T;PCD;;10222
05/02/2026;iXS_CCR_SMSC;PCD;;4408
09/02/2026;iXS_Terminados_NPA_1T;PCD;;96654
03/02/2026;iXS_PCD_NPA_2T;PCD;;5387
03/02/2026;iXS_PCD_NPA_1T;PCD;;12613
05/02/2026;iXS_PCDPMTOP;PCD;;4988
03/02/2026;iXS_RUC_NPA_2T;PCD;;1930
10/02/2026;iXS_RUC_NPA_CPay;PCD;;7150
25/02/2026;iXS_PMS_PM;PCD;;3189
03/02/2026;iXS_RUC_NPA_1T;PCD;;5570
24/02/2026;iXS_PCD_Inativos_2T;PCD;;4000
24/02/2026;iXS_PCD_Inativos_1T;PCD;;4060
10/02/2026;iXS_PCD_NPA_CPay;PCD;;6500
10/02/2026;iXS_RUC_2T;PCD;;4400
24/02/2026;iXS_RUC_PlafondMinimo;RUC Plafond Minimo;;1020
23/02/2026;iXS_RUC_1T;PCD;;6000
05/02/2026;iXS_PCDPM_2T;PCD;;5500
10/02/2026;iXS_PCDPM_1T;PCD;;4053
16/02/2026;iXS_PCDPM_Parcerias;PCD;;1090
18/02/2026;iXS_PCDPMHabit;PCD;;2000
18/02/2026;iXS_PCD_Auto;PCD;;2000
24/02/2026;iXS_PMS_MI;PMS;;2050
